BalancePlatform,AccountHolder,BalanceAccount,Category,Type,Status,Transfer Id,Transaction Id,Psp Payment Merchant Reference,Psp Payment Psp Reference,Psp Modification Psp Reference,Psp Modification Merchant Reference,Reference,Description,Booking Date,Booking Date TimeZone,Value Date,Value Date TimeZone,Currency,Amount,Starting Balance Currency,Starting Balance,Ending Balance Currency,Ending Balance,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256M0B362C13SQ,T0256O0WUCFZMG5J,BELLA-ITALIA-001-ORD-01-011,P0256N08G3B6OB87,,,BELLA-ITALIA-001-ORD-01-011,Order BELLA-ITALIA-001-ORD-01-011,01/07/2024 12:06,EST,03/07/2024 00:00,EST,USD,27.91,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256P0AA28MZD92,T0256R0026R7B867,BELLA-ITALIA-001-ORD-01-012,P0256Q0B7EX7HELG,,,BELLA-ITALIA-001-ORD-01-012,Order BELLA-ITALIA-001-ORD-01-012,01/07/2024 12:23,EST,03/07/2024 00:00,EST,USD,70.6,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257J0HJEH0CBZJ,T0257L0TF7ARO8MU,BELLA-ITALIA-001-ORD-01-022,P0257K06LZC9T8EJ,,,BELLA-ITALIA-001-ORD-01-022,Order BELLA-ITALIA-001-ORD-01-022,01/07/2024 12:29,EST,03/07/2024 00:00,EST,USD,46.33,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257D0CH4E7ET3S,T0257F0ED9YP382V,BELLA-ITALIA-001-ORD-01-020,P0257E0UOXQVK7V5,,,BELLA-ITALIA-001-ORD-01-020,Order BELLA-ITALIA-001-ORD-01-020,01/07/2024 12:36,EST,03/07/2024 00:00,EST,USD,40.9,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025770O4UQGNB3K,T025790BLXULDVZN,BELLA-ITALIA-001-ORD-01-018,P025780M72IIZVVH,,,BELLA-ITALIA-001-ORD-01-018,Order BELLA-ITALIA-001-ORD-01-018,01/07/2024 13:11,EST,03/07/2024 00:00,EST,USD,74.82,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257Y03S6HT4GTT,T025800IAYYDYUQL,BELLA-ITALIA-001-ORD-01-027,P0257Z0CIN23FBDS,,,BELLA-ITALIA-001-ORD-01-027,Order BELLA-ITALIA-001-ORD-01-027,01/07/2024 13:29,EST,03/07/2024 00:00,EST,USD,69.97,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025870MNQEEFMAR,T025890FU5OON1XG,BELLA-ITALIA-001-ORD-01-030,P025880IVAQCVLUX,,,BELLA-ITALIA-001-ORD-01-030,Order BELLA-ITALIA-001-ORD-01-030,01/07/2024 13:34,EST,03/07/2024 00:00,EST,USD,32.46,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257A0L89VDYPAG,T0257C0W4JKQQJUN,BELLA-ITALIA-001-ORD-01-019,P0257B0I2GN3SAYI,,,BELLA-ITALIA-001-ORD-01-019,Order BELLA-ITALIA-001-ORD-01-019,01/07/2024 14:08,EST,03/07/2024 00:00,EST,USD,63.93,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256705LE4D782B,T02569048RLA40J7,BELLA-ITALIA-001-ORD-01-006,P025680UOY92UCKX,,,BELLA-ITALIA-001-ORD-01-006,Order BELLA-ITALIA-001-ORD-01-006,01/07/2024 14:30,EST,03/07/2024 00:00,EST,USD,42.93,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256S053RJSJVCZ,T0256U0TAMRTMB4E,BELLA-ITALIA-001-ORD-01-013,P0256T0UQH0I2RFP,,,BELLA-ITALIA-001-ORD-01-013,Order BELLA-ITALIA-001-ORD-01-013,01/07/2024 14:32,EST,03/07/2024 00:00,EST,USD,42.07,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258D0DMS5D1VFR,T0258F0UOF0MIIV8,BELLA-ITALIA-001-ORD-01-032,P0258E0XAGVMEB3M,,,BELLA-ITALIA-001-ORD-01-032,Order BELLA-ITALIA-001-ORD-01-032,01/07/2024 14:51,EST,03/07/2024 00:00,EST,USD,49.03,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025710EV3ZOC178,T025730J0JD8ODN0,BELLA-ITALIA-001-ORD-01-016,P025720S4HE780K9,,,BELLA-ITALIA-001-ORD-01-016,Order BELLA-ITALIA-001-ORD-01-016,01/07/2024 15:34,EST,03/07/2024 00:00,EST,USD,62.94,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256A0URKLOL3AU,T0256C0VNW5BRHEZ,BELLA-ITALIA-001-ORD-01-007,P0256B0O4J7RO6MN,,,BELLA-ITALIA-001-ORD-01-007,Order BELLA-ITALIA-001-ORD-01-007,01/07/2024 16:11,EST,03/07/2024 00:00,EST,USD,56.98,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258J0LALBH051I,T0258L0JAMR02RTH,BELLA-ITALIA-001-ORD-01-034,P0258K06OSBYBMNI,,,BELLA-ITALIA-001-ORD-01-034,Order BELLA-ITALIA-001-ORD-01-034,01/07/2024 16:15,EST,03/07/2024 00:00,EST,USD,40.8,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256D0XIYL1GW29,T0256F0NT8V9I1V8,BELLA-ITALIA-001-ORD-01-008,P0256E09MBXJ61IR,,,BELLA-ITALIA-001-ORD-01-008,Order BELLA-ITALIA-001-ORD-01-008,01/07/2024 16:44,EST,03/07/2024 00:00,EST,USD,86.71,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256V0GMSS1VIJV,T0256X0KY28LMF5X,BELLA-ITALIA-001-ORD-01-014,P0256W07TLA1MK6C,,,BELLA-ITALIA-001-ORD-01-014,Order BELLA-ITALIA-001-ORD-01-014,01/07/2024 16:45,EST,03/07/2024 00:00,EST,USD,52.38,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256Y0K3O4SLNFN,T025700384ASWU5H,BELLA-ITALIA-001-ORD-01-015,P0256Z0T46BAT3MF,,,BELLA-ITALIA-001-ORD-01-015,Order BELLA-ITALIA-001-ORD-01-015,01/07/2024 16:51,EST,03/07/2024 00:00,EST,USD,59.38,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00255S0RMCIFWXUT,T0255U0ETR87WU6D,BELLA-ITALIA-001-ORD-01-001,P0255T0QNUEFYZHD,,,BELLA-ITALIA-001-ORD-01-001,Order BELLA-ITALIA-001-ORD-01-001,01/07/2024 17:19,EST,03/07/2024 00:00,EST,USD,55.64,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00255V0ZEVZ4ZXYH,T0255X0J2BUP8Q1U,BELLA-ITALIA-001-ORD-01-002,P0255W04YKKIZF28,,,BELLA-ITALIA-001-ORD-01-002,Order BELLA-ITALIA-001-ORD-01-002,01/07/2024 17:20,EST,03/07/2024 00:00,EST,USD,47.47,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00256J00M7YJYO60,T0256L0M92KQ4BWF,BELLA-ITALIA-001-ORD-01-010,P0256K0HE0OC4U6F,,,BELLA-ITALIA-001-ORD-01-010,Order BELLA-ITALIA-001-ORD-01-010,01/07/2024 17:26,EST,03/07/2024 00:00,EST,USD,31.09,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257G0TK3137FRB,T0257I0E4W2LVXSY,BELLA-ITALIA-001-ORD-01-021,P0257H01NBSI77Z3,,,BELLA-ITALIA-001-ORD-01-021,Order BELLA-ITALIA-001-ORD-01-021,01/07/2024 17:31,EST,03/07/2024 00:00,EST,USD,34.78,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00255Y05D3W9I007,T025600IUMFCYP46,BELLA-ITALIA-001-ORD-01-003,P0255Z0D20OI5HOH,,,BELLA-ITALIA-001-ORD-01-003,Order BELLA-ITALIA-001-ORD-01-003,01/07/2024 17:57,EST,03/07/2024 00:00,EST,USD,30.91,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025840QI6IB9C8D,T025860K7LJP9W2D,BELLA-ITALIA-001-ORD-01-029,P025850Y6KMBDVJL,,,BELLA-ITALIA-001-ORD-01-029,Order BELLA-ITALIA-001-ORD-01-029,01/07/2024 17:58,EST,03/07/2024 00:00,EST,USD,62.49,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258M06TLDV8ODK,T0258O09G9G1GER0,BELLA-ITALIA-001-ORD-01-035,P0258N06226C1XTW,,,BELLA-ITALIA-001-ORD-01-035,Order BELLA-ITALIA-001-ORD-01-035,01/07/2024 18:42,EST,03/07/2024 00:00,EST,USD,91.84,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00257400HFP9R7K9,T025760E9A96QW7B,BELLA-ITALIA-001-ORD-01-017,P025750VZQEV3AUW,,,BELLA-ITALIA-001-ORD-01-017,Order BELLA-ITALIA-001-ORD-01-017,01/07/2024 18:43,EST,03/07/2024 00:00,EST,USD,45.04,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258A0CVWWZQOUG,T0258C0DT3182KCO,BELLA-ITALIA-001-ORD-01-031,P0258B05B0YRBDSD,,,BELLA-ITALIA-001-ORD-01-031,Order BELLA-ITALIA-001-ORD-01-031,01/07/2024 20:51,EST,03/07/2024 00:00,EST,USD,87.51,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258109TUNJZN3L,T0258300ZUN5W0CT,BELLA-ITALIA-001-ORD-01-028,P025820JCUXVS1TV,,,BELLA-ITALIA-001-ORD-01-028,Order BELLA-ITALIA-001-ORD-01-028,01/07/2024 21:15,EST,03/07/2024 00:00,EST,USD,67.83,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AS02RHPB9O0T,T025AU07PXZ5S3FM,BELLA-ITALIA-001-ORD-02-022,P025AT0AORCO2WOP,,,BELLA-ITALIA-001-ORD-02-022,Order BELLA-ITALIA-001-ORD-02-022,02/07/2024 08:22,EST,04/07/2024 00:00,EST,USD,26.32,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AA0BSCI0XWR8,T025AC0ZEOFQ10N1,BELLA-ITALIA-001-ORD-02-016,P025AB0UM5HGGRV4,,,BELLA-ITALIA-001-ORD-02-016,Order BELLA-ITALIA-001-ORD-02-016,02/07/2024 08:25,EST,04/07/2024 00:00,EST,USD,60.62,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AJ0ZWP8BX5ST,T025AL025KBXEY8V,BELLA-ITALIA-001-ORD-02-019,P025AK0B66J4FMS5,,,BELLA-ITALIA-001-ORD-02-019,Order BELLA-ITALIA-001-ORD-02-019,02/07/2024 08:58,EST,04/07/2024 00:00,EST,USD,60.85,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259Y0WMREUQKYQ,T025A006XHWI2BFT,BELLA-ITALIA-001-ORD-02-012,P0259Z0V0FSO0EK0,,,BELLA-ITALIA-001-ORD-02-012,Order BELLA-ITALIA-001-ORD-02-012,02/07/2024 09:09,EST,04/07/2024 00:00,EST,USD,66.87,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AD0VJF9X1UE0,T025AF0ALFQZO4EU,BELLA-ITALIA-001-ORD-02-017,P025AE0I5FGII2PM,,,BELLA-ITALIA-001-ORD-02-017,Order BELLA-ITALIA-001-ORD-02-017,02/07/2024 09:17,EST,04/07/2024 00:00,EST,USD,59.14,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259704IY7LH0W0,T0259907S8MA5HPO,BELLA-ITALIA-001-ORD-02-005,P02598061J3TSW3K,,,BELLA-ITALIA-001-ORD-02-005,Order BELLA-ITALIA-001-ORD-02-005,02/07/2024 09:24,EST,04/07/2024 00:00,EST,USD,38.96,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025B40PTZ9KA3IM,T025B60IA79J2JVI,BELLA-ITALIA-001-ORD-02-024,P025B5051DGC4ZCB,,,BELLA-ITALIA-001-ORD-02-024,Order BELLA-ITALIA-001-ORD-02-024,02/07/2024 09:50,EST,04/07/2024 00:00,EST,USD,59.61,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AY05CEVMVAKT,T025B00ZC92NL82K,BELLA-ITALIA-001-ORD-02-023,P025AZ01FUGT3JWU,,,BELLA-ITALIA-001-ORD-02-023,Order BELLA-ITALIA-001-ORD-02-023,02/07/2024 09:55,EST,04/07/2024 00:00,EST,USD,33.72,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025A10DBIN3ER43,T025A30873GJYQ2R,BELLA-ITALIA-001-ORD-02-013,P025A20DQ13D4TK1,,,BELLA-ITALIA-001-ORD-02-013,Order BELLA-ITALIA-001-ORD-02-013,02/07/2024 10:35,EST,04/07/2024 00:00,EST,USD,27.22,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258S0GV54EYIDS,T0258U0C12TD4F3J,BELLA-ITALIA-001-ORD-02-001,P0258T0Q34E3PJPK,,,BELLA-ITALIA-001-ORD-02-001,Order BELLA-ITALIA-001-ORD-02-001,02/07/2024 11:46,EST,04/07/2024 00:00,EST,USD,18.44,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258V0FNMCGY1U9,T0258X059ELB8UFR,BELLA-ITALIA-001-ORD-02-002,P0258W01ZGP7I3CF,,,BELLA-ITALIA-001-ORD-02-002,Order BELLA-ITALIA-001-ORD-02-002,02/07/2024 12:44,EST,04/07/2024 00:00,EST,USD,88.13,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259404HDXFBSG5,T025960LE5895TQ8,BELLA-ITALIA-001-ORD-02-004,P0259501D6YL7O6G,,,BELLA-ITALIA-001-ORD-02-004,Order BELLA-ITALIA-001-ORD-02-004,02/07/2024 13:15,EST,04/07/2024 00:00,EST,USD,58.04,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259J0TX1FSPGQ0,T0259L0HFVGQM06S,BELLA-ITALIA-001-ORD-02-008,P0259K0DVF44Z7MV,,,BELLA-ITALIA-001-ORD-02-008,Order BELLA-ITALIA-001-ORD-02-008,02/07/2024 14:42,EST,04/07/2024 00:00,EST,USD,31.41,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AP0EAJTMEDB3,T025AR0RCVIT0GR5,BELLA-ITALIA-001-ORD-02-021,P025AQ0AFPS27GCZ,,,BELLA-ITALIA-001-ORD-02-021,Order BELLA-ITALIA-001-ORD-02-021,02/07/2024 15:25,EST,04/07/2024 00:00,EST,USD,56.78,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259D07A5QKXSZA,T0259F0W91G70KJW,BELLA-ITALIA-001-ORD-02-006,P0259E0K0OXCK71X,,,BELLA-ITALIA-001-ORD-02-006,Order BELLA-ITALIA-001-ORD-02-006,02/07/2024 16:05,EST,04/07/2024 00:00,EST,USD,82.45,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259P07SEDDDK9Y,T0259R0D49P93ZJV,BELLA-ITALIA-001-ORD-02-010,P0259Q0YUHAIAJF0,,,BELLA-ITALIA-001-ORD-02-010,Order BELLA-ITALIA-001-ORD-02-010,02/07/2024 16:32,EST,04/07/2024 00:00,EST,USD,37.8,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00258Y0N243LNERF,T025900I0Y3D9XO1,BELLA-ITALIA-001-ORD-02-003,P0258Z0T7ZA6YPUZ,,,BELLA-ITALIA-001-ORD-02-003,Order BELLA-ITALIA-001-ORD-02-003,02/07/2024 16:37,EST,04/07/2024 00:00,EST,USD,20.47,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025A4072CN7WECI,T025A605NYHM7O06,BELLA-ITALIA-001-ORD-02-014,P025A50GU7135UYV,,,BELLA-ITALIA-001-ORD-02-014,Order BELLA-ITALIA-001-ORD-02-014,02/07/2024 18:39,EST,04/07/2024 00:00,EST,USD,77.51,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AG06IW2A4S4B,T025AI0GUG97VVTZ,BELLA-ITALIA-001-ORD-02-018,P025AH0LW0LYYHN7,,,BELLA-ITALIA-001-ORD-02-018,Order BELLA-ITALIA-001-ORD-02-018,02/07/2024 19:41,EST,04/07/2024 00:00,EST,USD,33.28,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259V0NSTZATLF0,T0259X0G5E9SLYYK,BELLA-ITALIA-001-ORD-02-011,P0259W03RI3Y7Y0T,,,BELLA-ITALIA-001-ORD-02-011,Order BELLA-ITALIA-001-ORD-02-011,02/07/2024 19:45,EST,04/07/2024 00:00,EST,USD,87.4,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259G0DLKRUNTOO,T0259I06XL6ZRFTI,BELLA-ITALIA-001-ORD-02-007,P0259H0M835NU4J3,,,BELLA-ITALIA-001-ORD-02-007,Order BELLA-ITALIA-001-ORD-02-007,02/07/2024 20:15,EST,04/07/2024 00:00,EST,USD,37.99,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025A70ZGE2PQ1PV,T025A90RMVXODEV8,BELLA-ITALIA-001-ORD-02-015,P025A80536LVUSTX,,,BELLA-ITALIA-001-ORD-02-015,Order BELLA-ITALIA-001-ORD-02-015,02/07/2024 21:21,EST,04/07/2024 00:00,EST,USD,38.88,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025AM096MDOPN40,T025AO0ZG2BTUXUL,BELLA-ITALIA-001-ORD-02-020,P025AN0EAL46MDGV,,,BELLA-ITALIA-001-ORD-02-020,Order BELLA-ITALIA-001-ORD-02-020,02/07/2024 21:33,EST,04/07/2024 00:00,EST,USD,86.8,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,00259M0N6SO4ZSO6,T0259O0NWFS809KB,BELLA-ITALIA-001-ORD-02-009,P0259N0GFF4GQDJJ,,,BELLA-ITALIA-001-ORD-02-009,Order BELLA-ITALIA-001-ORD-02-009,02/07/2024 21:50,EST,04/07/2024 00:00,EST,USD,20.74,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025C100JNCQ7DSQ,T025C30Z9QYA99YL,BELLA-ITALIA-001-ORD-03-011,P025C20OTBUSXYIR,,,BELLA-ITALIA-001-ORD-03-011,Order BELLA-ITALIA-001-ORD-03-011,03/07/2024 08:16,EST,05/07/2024 00:00,EST,USD,42.51,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025C40LXILXQV56,T025C60T4MJGHHHR,BELLA-ITALIA-001-ORD-03-012,P025C5030GWIKFMP,,,BELLA-ITALIA-001-ORD-03-012,Order BELLA-ITALIA-001-ORD-03-012,03/07/2024 08:38,EST,05/07/2024 00:00,EST,USD,47.98,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025BS0GDQCOMH68,T025BU065FMYSKAZ,BELLA-ITALIA-001-ORD-03-008,P025BT06DPUX33EB,,,BELLA-ITALIA-001-ORD-03-008,Order BELLA-ITALIA-001-ORD-03-008,03/07/2024 08:44,EST,05/07/2024 00:00,EST,USD,95.05,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025CD0Z76NT0XX6,T025CF0C5N2WNCJL,BELLA-ITALIA-001-ORD-03-015,P025CE0BXM4M9YP8,,,BELLA-ITALIA-001-ORD-03-015,Order BELLA-ITALIA-001-ORD-03-015,03/07/2024 08:45,EST,05/07/2024 00:00,EST,USD,68.35,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025BM0LW1QG1IFT,T025BO0Q8GHI3DEF,BELLA-ITALIA-001-ORD-03-006,P025BN0XQYU2L8DX,,,BELLA-ITALIA-001-ORD-03-006,Order BELLA-ITALIA-001-ORD-03-006,03/07/2024 08:51,EST,05/07/2024 00:00,EST,USD,92.92,,,,,,,,,,,,,,
DemoBalancePlatform,AH3000000000000000000001,BA3000000000000000000001,platformPayment,capture,captured,0025CM011ACPUP7L,T025CO0KXI28QHEM,BELLA-ITALIA-001-ORD-03-018,P025CN0OR3R9CCOY,,,BELLA-ITALIA-001-ORD-03-018,Order BELLA-ITALIA-001-ORD-03-018,03/07/2024 09:09,EST,05/07/2024 00:00,EST,USD,38.16,,,,,,,,,,,,,,
