BalancePlatform,AccountHolder,BalanceAccount,AccountHolder Reference,AccountHolder Description,BalanceAccount Reference,BalanceAccount Description,Transfer Id,Transaction Id,Booking date,Booking date TimeZone,Value date,Value date TimeZone,Category,Type,Status,Currency,Balance (PC),Rolling Balance,Reference,Description,Counterparty Balance Account Id,Psp Payment Merchant Reference,Psp Payment Psp Reference,Payout Date
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029770JWGZWLX39,T0297906LVS10OX6,2024-07-01 11:01:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,33.17,496.91,GREEN-GARDEN-001-ORD-01-038,Order GREEN-GARDEN-001-ORD-01-038,,GREEN-GARDEN-001-ORD-01-038,P0297805VIT17FPU,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296M0MEF1XPC6Z,T0296O00DBSUJ46A,2024-07-01 11:04:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,21.62,518.53,GREEN-GARDEN-001-ORD-01-031,Order GREEN-GARDEN-001-ORD-01-031,,GREEN-GARDEN-001-ORD-01-031,P0296N0A8Y97LQ7P,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295G08XYMMDSV0,T0295I0FTWCQOZHC,2024-07-01 11:29:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,38.24,556.77,GREEN-GARDEN-001-ORD-01-017,Order GREEN-GARDEN-001-ORD-01-017,,GREEN-GARDEN-001-ORD-01-017,P0295H0SHRF1KMF1,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295M0BCYXJM0TJ,T0295O0YAUNGURJQ,2024-07-01 11:31:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,25.77,582.54,GREEN-GARDEN-001-ORD-01-019,Order GREEN-GARDEN-001-ORD-01-019,,GREEN-GARDEN-001-ORD-01-019,P0295N0W1GN80J20,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295Y0TH55GNKY5,T0296007CXHGM3ZM,2024-07-01 11:38:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,37.86,620.4,GREEN-GARDEN-001-ORD-01-023,Order GREEN-GARDEN-001-ORD-01-023,,GREEN-GARDEN-001-ORD-01-023,P0295Z0VWOTKU4OR,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296V01AKNQK949,T0296X0J84KIKBO6,2024-07-01 11:44:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,29.53,649.93,GREEN-GARDEN-001-ORD-01-034,Order GREEN-GARDEN-001-ORD-01-034,,GREEN-GARDEN-001-ORD-01-034,P0296W0KQQZ639AJ,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295S0SIIDGGFIA,T0295U0XHI3SXZL3,2024-07-01 11:56:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,42.87,692.8,GREEN-GARDEN-001-ORD-01-021,Order GREEN-GARDEN-001-ORD-01-021,,GREEN-GARDEN-001-ORD-01-021,P0295T0AJ4TV2VIW,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297J0NWK8FOUHU,T0297L0NPPXC6YVX,2024-07-01 12:03:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,9.67,702.47,GREEN-GARDEN-001-ORD-01-042,Order GREEN-GARDEN-001-ORD-01-042,,GREEN-GARDEN-001-ORD-01-042,P0297K05VME1DGUP,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297P01CDFG9C1A,T0297R0GWG8RSODN,2024-07-01 13:11:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,30.71,733.18,GREEN-GARDEN-001-ORD-01-044,Order GREEN-GARDEN-001-ORD-01-044,,GREEN-GARDEN-001-ORD-01-044,P0297Q0LJDKM2T79,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00298J0Q1KQB4U3T,T0298L0SF4SH4U7N,2024-07-01 13:37:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,18.02,751.2,GREEN-GARDEN-001-ORD-01-054,Order GREEN-GARDEN-001-ORD-01-054,,GREEN-GARDEN-001-ORD-01-054,P0298K0UM3HU5SCQ,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00294A012FVVTU72,T0294C0J0RY91BKQ,2024-07-01 13:57:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,30.16,781.36,GREEN-GARDEN-001-ORD-01-005,Order GREEN-GARDEN-001-ORD-01-005,,GREEN-GARDEN-001-ORD-01-005,P0294B0Z0B6X9ICX,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295P0FC3A9MUQR,T0295R0NJN3QZ3J4,2024-07-01 14:01:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,14.99,796.35,GREEN-GARDEN-001-ORD-01-020,Order GREEN-GARDEN-001-ORD-01-020,,GREEN-GARDEN-001-ORD-01-020,P0295Q0EQAD67R80,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295J0E001PG6EX,T0295L0D70NBG0OK,2024-07-01 14:06:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,29.46,825.81,GREEN-GARDEN-001-ORD-01-018,Order GREEN-GARDEN-001-ORD-01-018,,GREEN-GARDEN-001-ORD-01-018,P0295K0W3GJKIEZE,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,002951012WE0J3AM,T029530YD3928KXH,2024-07-01 14:29:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,19.31,845.12,GREEN-GARDEN-001-ORD-01-013,Order GREEN-GARDEN-001-ORD-01-013,,GREEN-GARDEN-001-ORD-01-013,P0295208K76NX7LL,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,002941064XPJSZF6,T029430ZA78A509Z,2024-07-01 14:39:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,28.71,873.83,GREEN-GARDEN-001-ORD-01-003,Order GREEN-GARDEN-001-ORD-01-003,,GREEN-GARDEN-001-ORD-01-003,P0294205DWXCZT6I,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297D0U565JM2DP,T0297F0SF7M68XOM,2024-07-01 14:57:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,36.88,910.71,GREEN-GARDEN-001-ORD-01-040,Order GREEN-GARDEN-001-ORD-01-040,,GREEN-GARDEN-001-ORD-01-040,P0297E0J9AYT1M4R,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029440FT9US5OC6,T02946020H1N3ANP,2024-07-01 15:11:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,10.34,921.05,GREEN-GARDEN-001-ORD-01-004,Order GREEN-GARDEN-001-ORD-01-004,,GREEN-GARDEN-001-ORD-01-004,P029450YW4M7WJZ2,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00294V0MEWFGTE9G,T0294X0Z6KWXFTI6,2024-07-01 15:30:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,44.45,965.5,GREEN-GARDEN-001-ORD-01-011,Order GREEN-GARDEN-001-ORD-01-011,,GREEN-GARDEN-001-ORD-01-011,P0294W0STX03CLGG,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296Y02DEEUK7YX,T029700AYU7ZP4FL,2024-07-01 16:12:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,16.25,981.75,GREEN-GARDEN-001-ORD-01-035,Order GREEN-GARDEN-001-ORD-01-035,,GREEN-GARDEN-001-ORD-01-035,P0296Z0EZF2531AL,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00295V0D92UXHOP0,T0295X0ER1DYC1LI,2024-07-01 16:22:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,42.36,1024.11,GREEN-GARDEN-001-ORD-01-022,Order GREEN-GARDEN-001-ORD-01-022,,GREEN-GARDEN-001-ORD-01-022,P0295W0OPUDCAZ1U,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00294J0DOXE75MTZ,T0294L0GK3UAA2KA,2024-07-01 16:26:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,21.13,1045.24,GREEN-GARDEN-001-ORD-01-007,Order GREEN-GARDEN-001-ORD-01-007,,GREEN-GARDEN-001-ORD-01-007,P0294K0NEAHWP0MQ,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00293Y0ZB7E07WWS,T029400H2M6LEWE6,2024-07-01 16:35:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,23.37,1068.61,GREEN-GARDEN-001-ORD-01-002,Order GREEN-GARDEN-001-ORD-01-002,,GREEN-GARDEN-001-ORD-01-002,P0293Z0GEEAD3D9P,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296G0F2G2CN7ZI,T0296I0AV9HVMGJ6,2024-07-01 16:55:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,36.2,1104.81,GREEN-GARDEN-001-ORD-01-029,Order GREEN-GARDEN-001-ORD-01-029,,GREEN-GARDEN-001-ORD-01-029,P0296H0XO2QD89JC,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00294D0SZCQI90YV,T0294F0JZOVC2P4Y,2024-07-01 17:06:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,42.38,1147.19,GREEN-GARDEN-001-ORD-01-006,Order GREEN-GARDEN-001-ORD-01-006,,GREEN-GARDEN-001-ORD-01-006,P0294E0YPIKFG58F,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029810L91FCQFM7,T0298307GIVGOG8I,2024-07-01 17:14:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,47.06,1194.25,GREEN-GARDEN-001-ORD-01-048,Order GREEN-GARDEN-001-ORD-01-048,,GREEN-GARDEN-001-ORD-01-048,P029820EGNK26B1W,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,0029610Q4MGQA32J,T02963061XFYSZ5S,2024-07-01 17:20:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,12.8,1207.05,GREEN-GARDEN-001-ORD-01-024,Order GREEN-GARDEN-001-ORD-01-024,,GREEN-GARDEN-001-ORD-01-024,P029620IHE997R0N,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297409XYQHPLXO,T029760Q1FHDN4CT,2024-07-01 17:22:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,13.38,1220.43,GREEN-GARDEN-001-ORD-01-037,Order GREEN-GARDEN-001-ORD-01-037,,GREEN-GARDEN-001-ORD-01-037,P029750G2QISDMXK,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00298P0LEH5BC2FZ,T0298R0YGFKG5O8U,2024-07-01 18:14:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,41.94,1262.37,GREEN-GARDEN-001-ORD-01-056,Order GREEN-GARDEN-001-ORD-01-056,,GREEN-GARDEN-001-ORD-01-056,P0298Q076XMSEY1S,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00298M093QSKAL70,T0298O0HD3GS87PB,2024-07-01 18:19:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,23.71,1286.08,GREEN-GARDEN-001-ORD-01-055,Order GREEN-GARDEN-001-ORD-01-055,,GREEN-GARDEN-001-ORD-01-055,P0298N0F1V94FT1M,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297V0TVLCUWP6Y,T0297X0XLLC4SN14,2024-07-01 18:45:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,17.49,1303.57,GREEN-GARDEN-001-ORD-01-046,Order GREEN-GARDEN-001-ORD-01-046,,GREEN-GARDEN-001-ORD-01-046,P0297W02ZIMR86EM,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297G0QQCHIKFO2,T0297I0N2SZ550AM,2024-07-01 19:45:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,22.75,1326.32,GREEN-GARDEN-001-ORD-01-041,Order GREEN-GARDEN-001-ORD-01-041,,GREEN-GARDEN-001-ORD-01-041,P0297H0P3UDUBGIJ,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00294S0Z9BNONDDJ,T0294U0CQV2K0BRE,2024-07-01 19:50:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,19.21,1345.53,GREEN-GARDEN-001-ORD-01-010,Order GREEN-GARDEN-001-ORD-01-010,,GREEN-GARDEN-001-ORD-01-010,P0294T0QKCBPSYGN,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296402TC8FOUV8,T029660ARHA4KRA6,2024-07-01 19:54:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,27.71,1373.24,GREEN-GARDEN-001-ORD-01-025,Order GREEN-GARDEN-001-ORD-01-025,,GREEN-GARDEN-001-ORD-01-025,P029650YMQ1W24LU,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00296S00U24KQYZG,T0296U0ZRUFPOH25,2024-07-01 20:14:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,10.59,1383.83,GREEN-GARDEN-001-ORD-01-033,Order GREEN-GARDEN-001-ORD-01-033,,GREEN-GARDEN-001-ORD-01-033,P0296T0TIF8CK25W,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00297Y0QTM8XJRWU,T0298000LC17BEU7,2024-07-01 20:38:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,22.04,1405.87,GREEN-GARDEN-001-ORD-01-047,Order GREEN-GARDEN-001-ORD-01-047,,GREEN-GARDEN-001-ORD-01-047,P0297Z0OGO5CUGTD,2024-07-03 07:00:00
DemoBalancePlatform,AH3000000000000000000004,BA3000000000000000000004,GREEN-GARDEN-001,Green Garden Cafe,BA-GARDEN-001,Green Garden - Main Account,00298G093SEOK6PX,T0298I0J3SMCTFMQ,2024-07-01 20:42:00,EST,2024-07-03 00:00:00,EST,platformPayment,capture,captured,USD,21.01,1426.88,GREEN-GARDEN-001-ORD-01-053,Order GREEN-GARDEN-001-ORD-01-053,,GREEN-GARDEN-001-ORD-01-053,P0298H05VX1LI2YB,2024-07-03 07:00:00
